agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.59375,0.5,0.7385576,0.6744605,1.413018,0.58211875,0.0625,0.00029396568,1.4312317,200,163.81,13,3706,-0.044094987,0.49088374,2.962296
0.875,0.53125,0.4301445,0.70922005,1.1393645,0.60616946,0.0625,-0.0011221522,9.915173,200,150.04,13,3793,-0.12390871,0.3422777,20.090286
0.5,0.6875,0.65649545,0.5598738,1.2163693,0.52653575,0.03125,-0.001463366,12.387968,200,136.04,13,3887,-0.1325506,0.43825954,25.051567
0.71875,0.53125,0.55546606,0.63431776,1.1897838,0.45104536,0.0625,-8.871034e-05,4.443503,200,122.08,10,3990,-0.17276213,0.43977183,9.24155
0.71875,0.46875,0.55396503,0.6716964,1.2256615,0.55210835,0.15625,0.003141888,7.7804074,200,145.37,13,4077,-0.056215376,0.38959348,15.684288
0.71875,0.46875,0.54586846,0.82470924,1.3705777,0.6110895,0.5,0.00048714085,8.261082,200,144.16,13,4163,-0.1166131,0.4229726,16.767612
0.625,0.5625,0.6411671,0.63038516,1.2715523,0.46061426,0.4375,0.00081704475,5.0583696,200,160.72,12,4245,0.28030965,0.3719491,9.565332
0.84375,0.625,0.42888987,0.6353403,1.0642302,0.5194619,0.09375,-0.001795446,0.12538508,200,144.44,11,4333,-0.22811957,0.331073,0.7173985
0.53125,0.53125,0.6858002,0.71058714,1.3963873,0.5766766,0.0,0.00025557587,41.15066,200,141.15,11,4425,-0.051027652,0.4832706,82.41492
0.875,0.6875,0.41212094,0.60178214,1.0139031,0.51660573,0.03125,0.0003695908,13.802547,200,152.6,12,4507,0.0758581,0.3314202,27.46371
0.96875,0.65625,0.42180634,0.5854683,1.0072746,0.63762,0.0625,-0.0014178546,30.833982,200,156.41,13,4590,0.06504845,0.3286252,61.55062
0.09375,0.78125,1.0210334,0.5456413,1.5666747,0.6173043,0.0625,-0.00055114296,4.5604444,200,158.9,13,4670,0.14986664,0.6268518,8.833502
0.625,0.5625,0.66280067,0.71042144,1.3732221,0.5287974,0.0625,-0.0011858419,1.521756,200,160.99,13,4750,0.049012154,0.4448293,2.9560637
0.8125,0.46875,0.41924107,0.6789682,1.0982093,0.4580028,0.0,-0.00026005518,2.227738,200,149.13,12,4837,0.061099198,0.31542772,4.3424373
0.1875,0.53125,3.6226165,0.7804026,4.403019,0.58823913,0.125,0.0005835064,24.798433,200,157.25,12,4918,0.15907104,0.75676,49.29049
0.75,0.34375,0.5729825,0.72516525,1.2981477,0.5380366,0.0,0.0005223228,64.018295,200,159.5,28,4999,0.10495625,0.3916637,127.83743
0.625,0.5625,0.5799211,0.66351426,1.2434354,0.57326543,0.0,0.00036373653,7.3882055,200,151.68,12,5082,-0.20231116,0.44843486,15.192498
0.4375,0.59375,0.88131404,0.67462456,1.5559386,0.54863274,0.03125,-0.00042272988,3.7401645,200,153.45,11,5169,0.04032384,0.49064982,7.410654
0.75,0.59375,0.5120728,0.58811575,1.1001885,0.52846396,0.0,-0.0010588312,0.8762436,200,157.44,12,5249,-0.2226093,0.3722722,2.208275
0.9375,0.6875,0.44556314,0.5528343,0.9983974,0.6161716,0.0,0.00043007522,20.517246,200,163.96,30,5328,0.108201474,0.332358,40.830414
0.9375,0.75,0.3542127,0.5423974,0.8966101,0.51466835,0.0,0.00085755705,0.42400318,200,173.6,16,5402,0.05787976,0.3150785,0.7425402
0.5,0.75,0.5107353,0.5414507,1.052186,0.44110566,0.09375,0.000573228,29.009598,200,151.04,10,5490,0.12766786,0.33321142,57.772682
0.90625,0.5625,0.48919,0.5843265,1.0735165,0.55149835,0.0625,-0.0016690614,0.9952774,200,149.61,10,5575,0.0739849,0.3688521,1.853615
0.84375,0.78125,0.44015938,0.45964503,0.8998044,0.5542678,0.09375,-0.00077311497,3.217758,200,147.16,10,5664,0.035457913,0.3360248,6.3756857
0.5,0.5625,0.6971514,0.61976767,1.3169191,0.60922503,0.375,-0.00086686364,6.077159,200,154.03,12,5741,-0.19990155,0.51827085,12.566305
0.4375,0.40625,0.9936875,0.82468283,1.8183703,0.64060867,0.0,-0.00052495487,3.7733936,200,134.48,11,5835,0.055057786,0.5636289,7.449484
0.625,0.53125,0.6343448,0.78558993,1.4199347,0.5793121,0.0,0.00075669657,8.512577,200,146.73,11,5925,-0.10588892,0.40057206,17.24852
0.6875,0.5625,0.6540282,0.67443156,1.3284597,0.53194505,0.0625,-0.0012057027,1.6615683,200,137.0,11,6016,-0.2960121,0.38643786,3.9257996
0.875,0.5,0.36280066,0.77935934,1.1421599,0.5072875,0.0625,-0.00022097258,26.495043,200,161.77,15,6096,0.22581741,0.30973133,52.5486
0.9375,0.65625,0.47762766,0.6407938,1.1184214,0.55775213,0.09375,0.0017360225,24.079342,200,160.5,17,6176,0.05569449,0.3694817,48.05845
0.875,0.625,0.3995223,0.6343714,1.0338937,0.5910164,0.0,-0.0005184384,0.5642198,200,154.05,10,6259,-0.19591397,0.27129865,1.5320878
0.96875,0.5625,0.46916673,0.50831354,0.9774803,0.42850557,0.25,-0.0011247527,14.996724,200,153.54,12,6343,0.10580926,0.34559226,29.7904
0.5625,0.625,0.67750084,0.6327855,1.3102863,0.6045052,0.0,0.0010757488,1.1479194,200,145.79,11,6430,-0.31221968,0.4525364,2.9323683
0.40625,0.84375,0.93980277,0.4511276,1.3909304,0.5410415,0.0,5.589146e-05,7.009168,200,149.19,11,6518,-0.07093308,0.5166515,14.171022
0.90625,0.65625,0.5271338,0.56192577,1.0890596,0.48031157,0.21875,0.0006766832,3.040691,200,151.76,11,6601,-0.31852534,0.41128165,6.728039
0.9375,0.90625,0.30303526,0.36047018,0.66350543,0.56587076,0.03125,-0.0006254709,1.0477602,200,140.7,11,6694,-0.2807982,0.21588445,2.6684344
0.78125,0.59375,0.44286606,0.5938165,1.0366826,0.49334615,0.1875,0.0006368925,7.545109,200,148.26,11,6777,-0.21496508,0.31221485,15.530014
0.5625,0.375,0.73864585,0.84603536,1.5846813,0.56587404,0.0,0.0009928625,14.243075,200,156.37,12,6860,-0.093882225,0.47199592,28.685234
0.40625,0.625,1.3994867,0.5934336,1.9929203,0.50913715,0.0625,0.00021684985,19.244658,200,159.91,13,6940,-0.051376604,0.56777394,38.60225
0.09375,0.9375,1.0607364,0.3955393,1.4562757,0.60039854,0.0625,-0.000290266,7.374443,200,133.35,12,7033,0.087152615,0.5878906,14.586589
0.90625,0.59375,0.49165457,0.5514442,1.0430987,0.39177963,0.3125,-0.00028045778,1.1322111,200,155.35,15,7115,-0.02079673,0.37907156,2.3138514
0.53125,0.6875,0.71574223,0.60349774,1.31924,0.6183,0.09375,3.0622818e-05,5.2889833,200,159.87,17,7194,-0.06704008,0.46565664,10.724413
0.71875,0.5,0.4545343,0.8037702,1.2583045,0.5342749,0.03125,-5.427352e-05,0.8120091,200,165.09,11,7271,0.5287913,0.36550254,0.577121
0.46875,0.71875,0.7235437,0.53652644,1.2600701,0.5378921,0.0,-0.00054598437,8.636536,200,165.53,12,7347,0.005535435,0.4944194,17.272758
0.96875,0.625,0.3947124,0.62342894,1.0181413,0.5567812,0.09375,-0.0008608102,30.496437,200,158.71,16,7431,0.08705239,0.339176,60.829903
0.875,0.53125,0.48180404,0.6031879,1.0849919,0.6024765,0.21875,-0.00079386076,18.278296,200,157.71,12,7512,-0.2786425,0.3797903,37.125927
0.90625,0.65625,0.55909574,0.51122576,1.0703216,0.5884237,0.0625,-0.0029149177,1.1344954,200,161.03,14,7593,0.096626565,0.40991056,2.0875063
0.90625,0.5625,0.3948806,0.6178107,1.0126913,0.5278754,0.0,0.000700485,37.90765,200,151.48,12,7679,0.11933391,0.3166111,75.58719
0.59375,0.6875,0.57258713,0.6291667,1.2017539,0.36614883,0.0,0.00058350665,4.7185035,200,161.9,14,7757,0.051413186,0.3896404,9.341504
0.875,0.65625,0.40202844,0.5826925,0.98472095,0.5327776,0.0,-0.00055624876,0.73513156,200,165.0,14,7835,0.27282357,0.32641733,0.93527156
0.6875,0.5,0.67402816,0.7269421,1.4009702,0.5906067,0.0,-0.0017348493,2.9487398,200,151.02,14,7920,-0.06485245,0.4637832,6.0389967
0.53125,0.53125,0.7265531,0.61296093,1.339514,0.57332146,0.03125,-0.0012171618,2.4302428,200,151.33,13,8004,0.030015469,0.44731456,4.811921
0.46875,0.59375,0.67955387,0.6079953,1.2875491,0.49502933,0.03125,0.00086669484,16.699972,200,158.86,13,8083,-0.042376373,0.48797667,33.494595
0.78125,0.625,0.5028058,0.6879148,1.1907206,0.5288371,0.0625,0.00017991266,0.38664424,200,159.9,11,8159,-0.108181484,0.3452387,1.0002282
0.96875,0.6875,0.39781892,0.5459187,0.9437376,0.4413762,0.09375,0.0015122442,67.14049,200,154.76,11,8243,0.3369997,0.3160266,133.61581
0.8125,0.71875,0.48532286,0.46377122,0.94909406,0.46292308,0.0,0.0015208808,18.684172,200,167.57,13,8317,-0.15235634,0.36127004,37.682316
0.71875,0.625,0.5422722,0.48908275,1.0313549,0.3878715,0.21875,-0.0025113574,5.343077,200,166.54,11,8397,0.026660709,0.33116078,10.64059
0.78125,0.625,0.3204787,0.6347581,0.9552368,0.5162046,0.46875,-0.0022851438,2.550741,200,164.83,18,8472,0.15614939,0.23666677,4.799507
0.90625,0.6875,0.454798,0.505507,0.960305,0.592973,0.0625,-0.0025724054,3.2210767,200,146.9,12,8561,0.23418343,0.3446516,5.9856462
0.6875,0.75,0.5594672,0.51546085,1.074928,0.5153065,0.1875,8.463615e-05,8.967106,200,144.64,14,8650,-0.0041194744,0.28674904,17.952757
0.8125,0.6875,0.516482,0.5763067,1.0927887,0.47289115,0.09375,-0.00041581795,14.051956,200,135.97,14,8743,0.06676647,0.37622428,27.979837
0.375,0.65625,1.4610013,0.4735959,1.9345971,0.54881364,0.125,-0.0018506376,18.618586,200,156.0,11,8823,0.09501355,0.641476,37.05812
